Feature,Mean,Variance
age,0.22978183495507862,0.7498353778906423
sex,0.2678186781126864,0.7154190171730394
cp,-0.5184317912002587,0.6947769534364862
trestbps,0.16494653926164307,1.1667960039838738
chol,0.16326226886766107,1.110573362158438
fbs,0.03868573920109376,1.0782794356628327
restecg,-0.16659053999704973,1.0809908691033923
thalach,-0.4568912584401091,0.9545526697150108
exang,0.4906750712644539,1.0901246144946932
oldpeak,0.48858395721926956,1.220789444912647
slope,-0.40543901437505336,0.8335778155477359
ca,0.4064303942909937,1.06006709419026
thal,0.41167071596718313,1.1812361266947546
